id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227090841|NCT01115855|EG000|serious|Total, serious adverse events|52|111|2026-08-28 23:11:59.279446|2026-08-28 23:11:59.279446
227090842|NCT01115855|EG001|serious|Total, serious adverse events|65|110|2026-08-28 23:11:59.279446|2026-08-28 23:11:59.279446
227474943|NCT00089791|EG000|deaths|Total, all-cause mortality|||2026-08-29 23:38:24.248389|2026-08-29 23:38:24.248389
227474944|NCT00089791|EG001|deaths|Total, all-cause mortality|||2026-08-29 23:38:24.248389|2026-08-29 23:38:24.248389
227475047|NCT00089791|EG000|other|Total, other adverse events|3107|3876|2026-08-29 23:38:24.295632|2026-08-29 23:38:24.295632
227475048|NCT00089791|EG001|other|Total, other adverse events|3073|3886|2026-08-29 23:38:24.295632|2026-08-29 23:38:24.295632
227475151|NCT00089791|EG000|serious|Total, serious adverse events|972|3876|2026-08-29 23:38:24.331454|2026-08-29 23:38:24.331454
227475152|NCT00089791|EG001|serious|Total, serious adverse events|1004|3886|2026-08-29 23:38:24.331454|2026-08-29 23:38:24.331454
227291416|NCT03594110|EG000|deaths|Total, all-cause mortality|353|3305|2026-08-29 12:31:35.812054|2026-08-29 12:31:35.812054
227291417|NCT03594110|EG001|deaths|Total, all-cause mortality|314|3304|2026-08-29 12:31:35.812054|2026-08-29 12:31:35.812054
227291628|NCT03594110|EG000|other|Total, other adverse events|262|3305|2026-08-29 12:31:35.872119|2026-08-29 12:31:35.872119
227291629|NCT03594110|EG001|other|Total, other adverse events|228|3304|2026-08-29 12:31:35.872119|2026-08-29 12:31:35.872119
227291840|NCT03594110|EG000|serious|Total, serious adverse events|1167|3305|2026-08-29 12:31:35.934475|2026-08-29 12:31:35.934475
227291841|NCT03594110|EG001|serious|Total, serious adverse events|1089|3304|2026-08-29 12:31:35.934475|2026-08-29 12:31:35.934475
227538164|NCT01169259|EG000|deaths|Total, all-cause mortality|485|12927|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538165|NCT01169259|EG001|deaths|Total, all-cause mortality|493|12944|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538166|NCT01169259|EG002|deaths|Total, all-cause mortality|493|12933|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538167|NCT01169259|EG003|deaths|Total, all-cause mortality|485|12938|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538168|NCT01169259|EG004|deaths|Total, all-cause mortality|241|6463|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538169|NCT01169259|EG005|deaths|Total, all-cause mortality|244|6464|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538170|NCT01169259|EG006|deaths|Total, all-cause mortality|252|6470|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538171|NCT01169259|EG007|deaths|Total, all-cause mortality|241|6474|2026-08-30 03:55:00.949461|2026-08-30 03:55:00.949461
227538389|NCT01169259|EG000|other|Total, other adverse events|10086|12927|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
227538390|NCT01169259|EG001|other|Total, other adverse events|10098|12944|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
227538391|NCT01169259|EG002|other|Total, other adverse events|10094|12933|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
