id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227007533|NCT00968708|EG000|deaths|Total, all-cause mortality|||2026-08-28 17:45:15.907894|2026-08-28 17:45:15.907894
227007534|NCT00968708|EG001|deaths|Total, all-cause mortality|||2026-08-28 17:45:15.907894|2026-08-28 17:45:15.907894
227007793|NCT00968708|EG000|other|Total, other adverse events|1493|2679|2026-08-28 17:45:16.320247|2026-08-28 17:45:16.320247
227007794|NCT00968708|EG001|other|Total, other adverse events|1523|2701|2026-08-28 17:45:16.320247|2026-08-28 17:45:16.320247
227008053|NCT00968708|EG000|serious|Total, serious adverse events|952|2679|2026-08-28 17:45:16.420337|2026-08-28 17:45:16.420337
227008054|NCT00968708|EG001|serious|Total, serious adverse events|907|2701|2026-08-28 17:45:16.420337|2026-08-28 17:45:16.420337
227379242|NCT01986881|EG000|deaths|Total, all-cause mortality|228|2746|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379243|NCT01986881|EG001|deaths|Total, all-cause mortality|233|2747|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379244|NCT01986881|EG002|deaths|Total, all-cause mortality|247|2745|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379245|NCT01986881|EG003|deaths|Total, all-cause mortality|4|348|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379246|NCT01986881|EG004|deaths|Total, all-cause mortality|6|370|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379247|NCT01986881|EG005|deaths|Total, all-cause mortality|1|347|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379248|NCT01986881|EG006|deaths|Total, all-cause mortality|0|55|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379249|NCT01986881|EG007|deaths|Total, all-cause mortality|1|54|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379250|NCT01986881|EG008|deaths|Total, all-cause mortality|0|48|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379251|NCT01986881|EG009|deaths|Total, all-cause mortality|0|100|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379252|NCT01986881|EG010|deaths|Total, all-cause mortality|1|113|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379253|NCT01986881|EG011|deaths|Total, all-cause mortality|0|117|2026-08-29 17:55:51.541207|2026-08-29 17:55:51.541207
227379488|NCT01986881|EG000|other|Total, other adverse events|1405|2746|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379489|NCT01986881|EG001|other|Total, other adverse events|1389|2747|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379490|NCT01986881|EG002|other|Total, other adverse events|1395|2745|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379491|NCT01986881|EG003|other|Total, other adverse events|127|348|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379492|NCT01986881|EG004|other|Total, other adverse events|144|370|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379493|NCT01986881|EG005|other|Total, other adverse events|135|347|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379494|NCT01986881|EG006|other|Total, other adverse events|10|55|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379495|NCT01986881|EG007|other|Total, other adverse events|4|54|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379496|NCT01986881|EG008|other|Total, other adverse events|9|48|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379497|NCT01986881|EG009|other|Total, other adverse events|24|100|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379498|NCT01986881|EG010|other|Total, other adverse events|32|113|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379499|NCT01986881|EG011|other|Total, other adverse events|26|117|2026-08-29 17:55:51.631239|2026-08-29 17:55:51.631239
227379734|NCT01986881|EG000|serious|Total, serious adverse events|958|2746|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379735|NCT01986881|EG001|serious|Total, serious adverse events|937|2747|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379736|NCT01986881|EG002|serious|Total, serious adverse events|990|2745|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379737|NCT01986881|EG003|serious|Total, serious adverse events|33|348|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379738|NCT01986881|EG004|serious|Total, serious adverse events|27|370|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379739|NCT01986881|EG005|serious|Total, serious adverse events|37|347|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379740|NCT01986881|EG006|serious|Total, serious adverse events|4|55|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379741|NCT01986881|EG007|serious|Total, serious adverse events|1|54|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379742|NCT01986881|EG008|serious|Total, serious adverse events|2|48|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379743|NCT01986881|EG009|serious|Total, serious adverse events|7|100|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379744|NCT01986881|EG010|serious|Total, serious adverse events|8|113|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
227379745|NCT01986881|EG011|serious|Total, serious adverse events|6|117|2026-08-29 17:55:51.699466|2026-08-29 17:55:51.699466
